PlateID,Column,Row,ProcessingDate,CoreID,Morphotype,Notes,OakTip,JazminIDs
MBH001,1,A,3 Apr 2024,SOS-106,A,,,
MBH001,1,B,3 Apr 2024,SOS-106,B,,,
MBH001,1,C,3 Apr 2024,SOS-106,B,,,
MBH001,1,D,3 Apr 2024,SOS-106,C,,,
MBH001,1,E,3 Apr 2024,SOS-106,A,,,
MBH001,1,F,3 Apr 2024,SOS-106,A,,,
MBH001,1,G,3 Apr 2024,SOS-106,D,,,
MBH001,1,H,3 Apr 2024,SOS-106,A,,,
MBH001,2,A,4 Apr 2024,SOS-111,E,,,
MBH001,2,B,4 Apr 2024,SOS-111,E,,,
MBH001,2,C,4 Apr 2024,SOS-111,E,,,
MBH001,2,D,4 Apr 2024,SOS-111,F,,,
MBH001,2,E,4 Apr 2024,SOS-111,E,,,
MBH001,2,F,4 Apr 2024,SOS-111,F,,,
MBH001,2,G,4 Apr 2024,SOS-111,F,,,
MBH001,2,H,4 Apr 2024,SOS-111,F,,,
MBH001,3,A,5 Apr 2024,SOS-113,G,,,
MBH001,3,B,5 Apr 2024,SOS-113,G,,,
MBH001,3,C,5 Apr 2024,SOS-113,G,,,
MBH001,3,D,5 Apr 2024,SOS-113,G,,,
MBH001,3,E,5 Apr 2024,SOS-112,H,,,
MBH001,3,F,5 Apr 2024,SOS-073,J,,,
MBH001,3,G,5 Apr 2024,SOS-073,J,,,
MBH001,3,H,5 Apr 2024,SOS-073,J,,,
MBH001,4,A,5 Apr 2024,SOS-116,H,,,
MBH001,4,B,5 Apr 2024,SOS-116,H,,,
MBH001,4,C,5 Apr 2024,SOS-116,H,,,
MBH001,4,D,5 Apr 2024,SOS-116,H,,,
MBH001,4,E,5 Apr 2024,SOS-116,H,,,
MBH001,4,F,5 Apr 2024,SOS-116,H,,,
MBH001,4,G,5 Apr 2024,SOS-116,H,,,
MBH001,4,H,5 Apr 2024,SOS-116,H,,,
MBH001,5,A,5 Apr 2024,SOS-109,I,,,
MBH001,5,B,5 Apr 2024,SOS-109,I,,,
MBH001,5,C,5 Apr 2024,SOS-109,I,,,
MBH001,5,D,5 Apr 2024,SOS-109,I,,,
MBH001,5,E,5 Apr 2024,SOS-109,I,,,
MBH001,5,F,5 Apr 2024,SOS-109,I,,,
MBH001,5,G,5 Apr 2024,SOS-109,I,,,
MBH001,5,H,5 Apr 2024,SOS-109,I,,,
MBH001,6,A,6 Apr 2024,SOS-071,I,,,
MBH001,6,B,6 Apr 2024,SOS-105,G,,,
MBH001,6,C,6 Apr 2024,SOS-105,G,,,
MBH001,6,D,6 Apr 2024,SOS-105,G,,,
MBH001,6,E,6 Apr 2024,SOS-105,I,,,
MBH001,6,F,6 Apr 2024,SOS-074,I,,,
MBH001,6,G,6 Apr 2024,SOS-074,I,,,
MBH001,6,H,6 Apr 2024,,NEGCTRL,,,
MBH001,7,A,6 Apr 2024,SOS-075,K,,,
MBH001,7,B,6 Apr 2024,SOS-075,H,,,
MBH001,7,C,6 Apr 2024,SOS-075,H,,,
MBH001,7,D,6 Apr 2024,SOS-075,L,,,
MBH001,7,E,6 Apr 2024,SOS-075,K,,,
